2023-06-10 20:42:13.030209	https://www.encodeproject.org/report/?type=Experiment&searchTerm=DNase&assay_title=DNase-seq&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR483HUW/	ENCSR483HUW	DNase-seq	DNase-seq	tissue				Homo sapiens with Alzheimer's disease; head of caudate nucleus tissue female adult (90 or above years)	head of caudate nucleus	GEO:GSE187966		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF137CPJ/,/files/ENCFF577EJV/,/files/ENCFF538JTI/,/files/ENCFF975ZPG/,/files/ENCFF623LWY/,/files/ENCFF589HKG/,/files/ENCFF046BNJ/,/files/ENCFF079OTX/,/files/ENCFF849FVH/,/files/ENCFF947IEA/,/files/ENCFF678NHB/,/files/ENCFF335YKX/,/files/ENCFF256JQF/,/files/ENCFF078CVS/,/files/ENCFF016KGC/,/files/ENCFF318BNT/	/disease-series/ENCSR115MIM/	ENCBS344QIE	1	1		Homo sapiens	adult	90 or above years												/replicates/8010e0c9-ac1d-4032-b4f5-9eb9b9fd674b/				
/experiments/ENCSR916MHX/	ENCSR916MHX	DNase-seq	DNase-seq	tissue				Homo sapiens head of caudate nucleus tissue male adult (78 years)	head of caudate nucleus	GEO:GSE170603		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF224NBH/,/files/ENCFF060CDM/,/files/ENCFF883TKK/,/files/ENCFF385WDU/,/files/ENCFF726FXQ/,/files/ENCFF421JPW/,/files/ENCFF615IZB/,/files/ENCFF487QRP/,/files/ENCFF369TLY/,/files/ENCFF349ZYY/,/files/ENCFF146YHB/,/files/ENCFF533IMD/,/files/ENCFF159VDK/,/files/ENCFF292MPD/,/files/ENCFF037ADM/,/files/ENCFF009WYJ/	/disease-series/ENCSR524PTS/	ENCBS017GWZ	1	1		Homo sapiens	adult	78 years												/replicates/32ae411f-ac90-47cb-96fa-c76ddb2a7707/				
/experiments/ENCSR663MNQ/	ENCSR663MNQ	DNase-seq	DNase-seq	tissue				Homo sapiens with Alzheimer's disease; head of caudate nucleus tissue female adult (90 or above years)	head of caudate nucleus	GEO:GSE170953		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF606BGR/,/files/ENCFF827WRK/,/files/ENCFF420DWQ/,/files/ENCFF489CVJ/,/files/ENCFF136JAF/,/files/ENCFF108BWV/,/files/ENCFF096QFM/,/files/ENCFF365THI/,/files/ENCFF975KJF/,/files/ENCFF016TRZ/,/files/ENCFF469IVT/,/files/ENCFF418SMD/,/files/ENCFF879WXF/,/files/ENCFF803HTS/,/files/ENCFF980AXC/,/files/ENCFF460WQZ/	/disease-series/ENCSR278KPI/	ENCBS591PQX	1	1		Homo sapiens	adult	90 or above years												/replicates/b020c1be-12f0-471d-a556-fa42696733ce/				
/experiments/ENCSR800MBE/	ENCSR800MBE	DNase-seq	DNase-seq	tissue				Homo sapiens dorsolateral prefrontal cortex tissue female adult (82 years)	dorsolateral prefrontal cortex	GEO:GSE170168		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF881MFS/,/files/ENCFF537IDM/,/files/ENCFF331REM/,/files/ENCFF970ZDP/,/files/ENCFF347KCJ/,/files/ENCFF990EJE/,/files/ENCFF399SXV/,/files/ENCFF756PFB/,/files/ENCFF184XNV/,/files/ENCFF760JTP/,/files/ENCFF615YXX/,/files/ENCFF433LZG/,/files/ENCFF976KWB/,/files/ENCFF350IXP/,/files/ENCFF427FGG/,/files/ENCFF888LCU/	/disease-series/ENCSR873BYS/	ENCBS705XUU	1	1		Homo sapiens	adult	82 years												/replicates/7d942736-a8ca-49c8-b2f7-2579b6c3d930/				
/experiments/ENCSR751VMX/	ENCSR751VMX	DNase-seq	DNase-seq	tissue				Homo sapiens with mild cognitive impairment; dorsolateral prefrontal cortex tissue female adult (90 or above years)	dorsolateral prefrontal cortex	GEO:GSE169966		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF848FTO/,/files/ENCFF327VIK/,/files/ENCFF898ENG/,/files/ENCFF176YTE/,/files/ENCFF209YXC/,/files/ENCFF566FTW/,/files/ENCFF359QRX/,/files/ENCFF623DJK/,/files/ENCFF026BCO/,/files/ENCFF211LAD/,/files/ENCFF212COS/,/files/ENCFF589ILL/,/files/ENCFF225OIF/,/files/ENCFF448HPG/,/files/ENCFF439XFZ/,/files/ENCFF810CZH/,/files/ENCFF149TWW/,/files/ENCFF289QZX/	/disease-series/ENCSR673KBP/	ENCBS081COY	1	1		Homo sapiens	adult	90 or above years												/replicates/6c4e4d71-488b-42e9-89b0-0c13513a4ee8/				
/experiments/ENCSR814DYF/	ENCSR814DYF	DNase-seq	DNase-seq	tissue				Homo sapiens with mild cognitive impairment; head of caudate nucleus tissue male adult (90 or above years)	head of caudate nucleus	GEO:GSE170222		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF386BJO/,/files/ENCFF023LCG/,/files/ENCFF972DXV/,/files/ENCFF897HZR/,/files/ENCFF465EBU/,/files/ENCFF089BRG/,/files/ENCFF765YTX/,/files/ENCFF580TLN/,/files/ENCFF443NNA/,/files/ENCFF410TMZ/,/files/ENCFF884EHZ/,/files/ENCFF485BYX/,/files/ENCFF474OUB/,/files/ENCFF279BGA/,/files/ENCFF126IRF/,/files/ENCFF856OGN/	/disease-series/ENCSR955DXN/	ENCBS404ZYC	1	1		Homo sapiens	adult	90 or above years												/replicates/71aecf2e-7cea-4f7c-bd22-3cdd2f67cdf2/				
/experiments/ENCSR101HFF/	ENCSR101HFF	DNase-seq	DNase-seq	tissue				Homo sapiens with Alzheimer's disease; head of caudate nucleus tissue female adult (81 years)	head of caudate nucleus	GEO:GSE170256		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF618CZI/,/files/ENCFF562PCY/,/files/ENCFF919EVI/,/files/ENCFF567WWN/,/files/ENCFF739PPJ/,/files/ENCFF824LAS/,/files/ENCFF502BRQ/,/files/ENCFF593OEC/,/files/ENCFF454EUR/,/files/ENCFF619EMW/,/files/ENCFF875ESV/,/files/ENCFF773DPD/,/files/ENCFF503KLK/,/files/ENCFF429ZLQ/,/files/ENCFF397ILG/,/files/ENCFF619TGR/	/disease-series/ENCSR852ZSM/	ENCBS313EZC	1	1		Homo sapiens	adult	81 years												/replicates/8d2b5735-7826-4214-95d4-cb6f5ffd041c/				
/experiments/ENCSR984HJW/	ENCSR984HJW	DNase-seq	DNase-seq	tissue				Homo sapiens with Cognitive impairment, Alzheimer's disease; head of caudate nucleus tissue female adult (90 or above years)	head of caudate nucleus	GEO:GSE170851		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF860GDZ/,/files/ENCFF782KAL/,/files/ENCFF395NTQ/,/files/ENCFF060KXB/,/files/ENCFF879HYT/,/files/ENCFF160HDA/,/files/ENCFF021PMZ/,/files/ENCFF205CZX/,/files/ENCFF346AYM/,/files/ENCFF253RPO/,/files/ENCFF556VUZ/,/files/ENCFF870GSH/,/files/ENCFF165QRQ/,/files/ENCFF381HRA/,/files/ENCFF456RUT/,/files/ENCFF089NPW/	/disease-series/ENCSR505BZS/	ENCBS326ZYR	1	1		Homo sapiens	adult	90 or above years												/replicates/08c9569d-b7eb-4239-8f25-35d8b37a10b2/				
/experiments/ENCSR161ZGA/	ENCSR161ZGA	DNase-seq	DNase-seq	tissue				Homo sapiens with Cognitive impairment, Alzheimer's disease; head of caudate nucleus tissue female adult (90 or above years)	head of caudate nucleus	GEO:GSE187139		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF453TUJ/,/files/ENCFF168BSJ/,/files/ENCFF925CXH/,/files/ENCFF717NBU/,/files/ENCFF347GAM/,/files/ENCFF875GCD/,/files/ENCFF287GSL/,/files/ENCFF187VZV/,/files/ENCFF658FWW/,/files/ENCFF716KAN/,/files/ENCFF942IAB/,/files/ENCFF803PBJ/,/files/ENCFF825DAH/,/files/ENCFF991KPN/,/files/ENCFF955RSP/,/files/ENCFF144SAK/,/files/ENCFF545XMN/,/files/ENCFF541URG/	/disease-series/ENCSR927NIT/	ENCBS279JIS	1	1		Homo sapiens	adult	90 or above years												/replicates/4e57c892-d19a-4385-9fdb-b2435a52cefb/				
/experiments/ENCSR682ZZT/	ENCSR682ZZT	DNase-seq	DNase-seq	tissue				Homo sapiens head of caudate nucleus tissue female adult (83 years)	head of caudate nucleus	GEO:GSE170969		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF291GSG/,/files/ENCFF099DZI/,/files/ENCFF466WQT/,/files/ENCFF372ACJ/,/files/ENCFF053CCZ/,/files/ENCFF555ICS/,/files/ENCFF950SNY/,/files/ENCFF321SAT/,/files/ENCFF490SPM/,/files/ENCFF076BCM/,/files/ENCFF371YRI/,/files/ENCFF226XVD/,/files/ENCFF648JOD/,/files/ENCFF531OYW/,/files/ENCFF503ZPH/,/files/ENCFF936TLU/,/files/ENCFF153SJJ/,/files/ENCFF661CDH/	/disease-series/ENCSR931HTO/	ENCBS703VEL	1	1		Homo sapiens	adult	83 years												/replicates/abfe2838-cbf8-4cf2-9bae-a709fd833fbc/				
