2023-06-10 20:45:17.146282	https://www.encodeproject.org/report/?type=Experiment&searchTerm=DNase&assay_title=DNase-seq&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&audit.ERROR.category=extremely+low+spot+score&audit.ERROR.category=extremely+low+read+depth&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR362ZFC/	ENCSR362ZFC	DNase-seq	DNase-seq	in vitro differentiated cells				Homo sapiens type B pancreatic cell	type B pancreatic cell	GEO:GSE215717		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF057RHN/,/files/ENCFF124YGG/,/files/ENCFF860SYL/,/files/ENCFF601CRL/,/files/ENCFF876VGG/,/files/ENCFF843AJO/,/files/ENCFF988MXK/,/files/ENCFF682ZQJ/,/files/ENCFF343GSG/,/files/ENCFF647HDA/,/files/ENCFF412KXN/,/files/ENCFF179SMT/,/files/ENCFF379CJZ/,/files/ENCFF013NKW/,/files/ENCFF314ZFT/,/files/ENCFF485UZT/		ENCBS024CHQ	1	1		Homo sapiens	embryonic	5 days												/replicates/e9e7cc0f-f989-4822-8ae9-8444a07e4838/				
/experiments/ENCSR330JXM/	ENCSR330JXM	DNase-seq	DNase-seq	organoid				Homo sapiens brain organoid, 90 days post differentiation	brain	GEO:GSE187053		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF936OKC/,/files/ENCFF504HOK/,/files/ENCFF913KDZ/,/files/ENCFF363WEB/,/files/ENCFF088ZOS/,/files/ENCFF951FWF/,/files/ENCFF314VAK/,/files/ENCFF499GCS/,/files/ENCFF679HIO/,/files/ENCFF424NSY/,/files/ENCFF014CRZ/,/files/ENCFF157RLF/,/files/ENCFF794MBT/,/files/ENCFF577SDV/,/files/ENCFF966AQE/,/files/ENCFF747EJP/	/differentiation-series/ENCSR944GKC/	ENCBS247YMQ	1	1		Homo sapiens	adult	53 years												/replicates/948011ec-fad9-4af9-b4a9-661808c5ce21/				
/experiments/ENCSR049SVH/	ENCSR049SVH	DNase-seq	DNase-seq	organoid				Homo sapiens brain organoid, 180 days post differentiation	brain	GEO:GSE187184		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF622RDP/,/files/ENCFF253KWF/,/files/ENCFF972VLO/,/files/ENCFF606XSD/,/files/ENCFF331ZVA/,/files/ENCFF714NYP/,/files/ENCFF844CAH/,/files/ENCFF628YXT/,/files/ENCFF594ZYT/,/files/ENCFF786YZF/,/files/ENCFF294XYG/,/files/ENCFF644VRK/,/files/ENCFF046KNY/,/files/ENCFF091PBX/,/files/ENCFF110ZAI/,/files/ENCFF322RXX/	/differentiation-series/ENCSR944GKC/	ENCBS871LYY	1	1		Homo sapiens	adult	53 years												/replicates/c8b9a3f8-fe5c-4563-9355-173e6d370af2/				
/experiments/ENCSR000EJB/	ENCSR000EJB	DNase-seq	DNase-seq	cell line				Homo sapiens GM10248	GM10248	GEO:GSM1008589,UCSC-ENCODE-hg19:wgEncodeEH003487	Duke human GM10248 DNase-seq	Gregory Crawford, Duke	ENCODE	released	/files/ENCFF000SKK/,/files/ENCFF000SKL/,/files/ENCFF000SKM/,/files/ENCFF000SKO/,/files/ENCFF000SKP/,/files/ENCFF000SKX/,/files/ENCFF000SKY/,/files/ENCFF001UVA/,/files/ENCFF631XTU/,/files/ENCFF495SQQ/,/files/ENCFF361PEP/,/files/ENCFF796GGJ/,/files/ENCFF244DVV/,/files/ENCFF993WFE/,/files/ENCFF529GTE/,/files/ENCFF038OMI/,/files/ENCFF176YAH/,/files/ENCFF675SLJ/,/files/ENCFF529FTC/,/files/ENCFF301AOM/,/files/ENCFF149TAY/,/files/ENCFF652JRP/,/files/ENCFF115TTF/,/files/ENCFF351NNJ/,/files/ENCFF976UHK/,/files/ENCFF398DCJ/,/files/ENCFF225ANB/,/files/ENCFF910SFL/,/files/ENCFF826PJP/,/files/ENCFF732CAX/,/files/ENCFF428MNL/,/files/ENCFF148CEZ/,/files/ENCFF830OFD/,/files/ENCFF240YYZ/,/files/ENCFF708XRM/,/files/ENCFF186KUO/,/files/ENCFF034LUU/,/files/ENCFF654IDD/,/files/ENCFF662QWY/,/files/ENCFF781ABT/,/files/ENCFF865QUK/,/files/ENCFF945HGT/,/files/ENCFF818LFR/,/files/ENCFF238AOY/,/files/ENCFF619DUW/,/files/ENCFF720TYC/		ENCBS183AAA	1	1,2		Homo sapiens	unknown	32 years												/replicates/0b9064ea-a1ca-401c-aa76-966cad4da7cb/,/replicates/014e5c00-842e-4560-ba32-45df41c06b38/				
/experiments/ENCSR000EJX/	ENCSR000EJX	DNase-seq	DNase-seq	cell line				Homo sapiens HPDE6-E6E7	HPDE6-E6E7	GEO:GSM816639,UCSC-ENCODE-hg19:wgEncodeEH001106	DNase-seq on human pancreatic duct (HPDE6-E6E7)	Gregory Crawford, Duke	ENCODE	released	/files/ENCFF000ADI/,/files/ENCFF000SRB/,/files/ENCFF000SRC/,/files/ENCFF000SRD/,/files/ENCFF000SRE/,/files/ENCFF000SRF/,/files/ENCFF000SRM/,/files/ENCFF000SRP/,/files/ENCFF001SOW/,/files/ENCFF001UVW/,/files/ENCFF540XNK/,/files/ENCFF718TWM/,/files/ENCFF522WKX/,/files/ENCFF274XBY/,/files/ENCFF348PQC/,/files/ENCFF021ELH/,/files/ENCFF793NVG/,/files/ENCFF573IUZ/,/files/ENCFF691TAT/,/files/ENCFF891UCG/,/files/ENCFF971OXS/,/files/ENCFF292XHX/,/files/ENCFF512ZPM/,/files/ENCFF650CWR/,/files/ENCFF867RRG/,/files/ENCFF844MEC/,/files/ENCFF081OAM/,/files/ENCFF344WOW/,/files/ENCFF608YEI/,/files/ENCFF635IWV/,/files/ENCFF895OOG/,/files/ENCFF806NBZ/,/files/ENCFF426OUN/,/files/ENCFF227ZLB/,/files/ENCFF114CBV/,/files/ENCFF727OTD/,/files/ENCFF376RHW/,/files/ENCFF908JAN/,/files/ENCFF897ZOP/,/files/ENCFF508NEV/,/files/ENCFF224UCQ/,/files/ENCFF568BQJ/,/files/ENCFF614ARK/,/files/ENCFF240TDT/,/files/ENCFF283RCF/,/files/ENCFF062RTM/,/files/ENCFF045EMU/,/files/ENCFF206OAE/		ENCBS224AAA	1	2,1		Homo sapiens	adult	63 years												/replicates/00208fe4-d8cf-4033-ac3c-ab3ea9cb9c96/,/replicates/c8620272-8462-4f87-aa32-67b2771bec35/				
/experiments/ENCSR000EOT/	ENCSR000EOT	DNase-seq	DNase-seq	cell line				Homo sapiens K562	K562	UCSC-ENCODE-hg19:wgEncodeEH003153,GEO:GSE172523,UCSC-ENCODE-hg19:wgEncodeEH003016	UW human K562 DNase-seq P5 wild type	John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF001DUI/,/files/ENCFF001DUJ/,/files/ENCFF162DLQ/,/files/ENCFF543XCF/,/files/ENCFF715ZAU/,/files/ENCFF370IOC/,/files/ENCFF826WIT/,/files/ENCFF163LLK/,/files/ENCFF886YYX/,/files/ENCFF134DLD/,/files/ENCFF156LGK/,/files/ENCFF413AHU/,/files/ENCFF258CIN/,/files/ENCFF936BDN/,/files/ENCFF708OTX/,/files/ENCFF433TIR/,/files/ENCFF945DYE/,/files/ENCFF516SLN/,/files/ENCFF390ZGA/,/files/ENCFF821KDJ/,/files/ENCFF794RYV/,/files/ENCFF015DYP/,/files/ENCFF504CYY/,/files/ENCFF919LCP/,/files/ENCFF201KEN/,/files/ENCFF325RTP/,/files/ENCFF295EHG/,/files/ENCFF501XAY/,/files/ENCFF205FNC/,/files/ENCFF638AVF/,/files/ENCFF414OGC/,/files/ENCFF860XAE/,/files/ENCFF425WDA/,/files/ENCFF069IMW/,/files/ENCFF312BQS/,/files/ENCFF742CON/,/files/ENCFF758OPW/,/files/ENCFF722NSO/,/files/ENCFF338LXW/,/files/ENCFF534KXL/,/files/ENCFF387XYI/,/files/ENCFF638QFS/,/files/ENCFF784DIM/,/files/ENCFF327DFG/,/files/ENCFF900NSO/,/files/ENCFF185XRG/,/files/ENCFF807ICZ/,/files/ENCFF270YIV/,/files/ENCFF646NMS/	/reference-epigenomes/ENCSR612NLL/,/experiment-series/ENCSR117ZXS/	ENCBS545WKJ,ENCBS392ZOW	1,2	1,2		Homo sapiens	adult	53 years												/replicates/87533438-afb5-4f8f-aae4-6c05bc16c8ad/,/replicates/d06a7e69-6495-4df4-b61e-8e0276ccf046/,/replicates/92a1df23-e4f9-4a36-b8a3-b0249a7c909f/				
/experiments/ENCSR818HHN/	ENCSR818HHN	DNase-seq	DNase-seq	in vitro differentiated cells				Homo sapiens osteocyte	osteocyte	GEO:GSE215487		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF142KHR/,/files/ENCFF288RRL/,/files/ENCFF798LMV/,/files/ENCFF203LIZ/,/files/ENCFF426FCA/,/files/ENCFF215HGO/,/files/ENCFF792MQQ/,/files/ENCFF360MUD/,/files/ENCFF283OSS/,/files/ENCFF039RUP/,/files/ENCFF866EEW/,/files/ENCFF226FAT/,/files/ENCFF427PSW/,/files/ENCFF669XGP/,/files/ENCFF940VXS/,/files/ENCFF251CQQ/		ENCBS076BKW	1	1		Homo sapiens	embryonic	5 days												/replicates/72de7b5a-c1d7-4ab0-baf8-dc79a996569b/				
/experiments/ENCSR000EOM/	ENCSR000EOM	DNase-seq	DNase-seq	primary cell				Homo sapiens glomerular endothelial cell	glomerular endothelial cell	GEO:GSM736618,UCSC-ENCODE-hg19:wgEncodeEH001195,SCREEN-GRCh38:glomerular_endothelial_cell	DNase-seq on human HRGEC	John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF000AGD/,/files/ENCFF001DLQ/,/files/ENCFF001DLR/,/files/ENCFF001DLS/,/files/ENCFF001DLT/,/files/ENCFF001DLU/,/files/ENCFF001DLV/,/files/ENCFF001DLW/,/files/ENCFF001DLZ/,/files/ENCFF001DMG/,/files/ENCFF001DMH/,/files/ENCFF001SRR/,/files/ENCFF001WMF/,/files/ENCFF001WMG/,/files/ENCFF001WMH/,/files/ENCFF001WMI/,/files/ENCFF847HIS/,/files/ENCFF508FNE/,/files/ENCFF221ETZ/,/files/ENCFF914OQO/,/files/ENCFF410LWP/,/files/ENCFF477QJF/,/files/ENCFF081QSB/,/files/ENCFF599YTD/,/files/ENCFF283JQE/,/files/ENCFF507URI/,/files/ENCFF654QAL/,/files/ENCFF776QPB/,/files/ENCFF993TCA/,/files/ENCFF801CSJ/,/files/ENCFF372IID/,/files/ENCFF113KEF/,/files/ENCFF861NJS/,/files/ENCFF927KUT/,/files/ENCFF982AJY/,/files/ENCFF636BJB/,/files/ENCFF528CKW/,/files/ENCFF371NUJ/,/files/ENCFF946QOD/,/files/ENCFF208EGU/,/files/ENCFF683WKN/,/files/ENCFF883FSZ/,/files/ENCFF030EGU/,/files/ENCFF910PWZ/,/files/ENCFF284RFI/,/files/ENCFF760SLX/,/files/ENCFF984PNP/,/files/ENCFF022OPW/,/files/ENCFF529SHS/,/files/ENCFF779SPA/,/files/ENCFF296SMG/,/files/ENCFF358DSH/,/files/ENCFF888ZVB/,/files/ENCFF416APW/,/files/ENCFF320KHK/,/files/ENCFF837ULX/,/files/ENCFF800JZO/,/files/ENCFF533QIZ/,/files/ENCFF085FTM/,/files/ENCFF979ARQ/,/files/ENCFF393ZCH/,/files/ENCFF217AES/,/files/ENCFF656ZYW/,/files/ENCFF416UWK/,/files/ENCFF420GLR/,/files/ENCFF960EDC/,/files/ENCFF599GIR/,/files/ENCFF121PIG/,/files/ENCFF940UMJ/,/files/ENCFF264EWF/,/files/ENCFF975RPX/,/files/ENCFF787ENV/,/files/ENCFF320ZRS/,/files/ENCFF707NKS/,/files/ENCFF328YXQ/,/files/ENCFF339ZSO/,/files/ENCFF959OSD/,/files/ENCFF969HME/,/files/ENCFF563UCE/,/files/ENCFF091QYT/,/files/ENCFF178MRH/,/files/ENCFF959YCW/,/files/ENCFF500MAH/,/files/ENCFF714JOW/,/files/ENCFF408DOO/,/files/ENCFF123RRW/,/files/ENCFF914GHI/,/files/ENCFF745WQP/,/files/ENCFF609KAL/,/files/ENCFF531HIT/,/files/ENCFF704DZT/,/files/ENCFF956WBO/,/files/ENCFF926ASP/,/files/ENCFF221NYI/,/files/ENCFF637XTZ/,/files/ENCFF437WCJ/,/files/ENCFF151ZAM/,/files/ENCFF168YFR/,/files/ENCFF025YVN/,/files/ENCFF203NXW/,/files/ENCFF625RVF/,/files/ENCFF271SXQ/,/files/ENCFF486RIN/,/files/ENCFF321JYJ/,/files/ENCFF904ELM/,/files/ENCFF408BIS/,/files/ENCFF529OOQ/,/files/ENCFF604KPL/,/files/ENCFF614LVU/,/files/ENCFF589PKJ/,/files/ENCFF084QBI/,/files/ENCFF330REY/		ENCBS324AAA,ENCBS755UWJ	1,2	1		Homo sapiens	unknown													/replicates/c245882e-bd80-423f-89f4-6e8d3bf49a6c/,/replicates/246c4671-b9ec-4ce1-b93d-85234b7b162e/				
/experiments/ENCSR000ENX/	ENCSR000ENX	DNase-seq	DNase-seq	primary cell				Homo sapiens dermis blood vessel endothelial cell female adult	dermis blood vessel endothelial cell	GEO:GSM1024747,UCSC-ENCODE-hg19:wgEncodeEH001889,SCREEN-GRCh38:dermis_blood_vessel_endothelial_cell_female_adult_donor_ENCDO239AAA	UW human HMVEC-dAd DNase-seq	John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF000AFO/,/files/ENCFF001DGA/,/files/ENCFF001DGB/,/files/ENCFF001DGC/,/files/ENCFF001DGD/,/files/ENCFF001DGE/,/files/ENCFF001DGF/,/files/ENCFF001DGH/,/files/ENCFF001DGJ/,/files/ENCFF001DGK/,/files/ENCFF001DGP/,/files/ENCFF001SRC/,/files/ENCFF001WJZ/,/files/ENCFF001WKA/,/files/ENCFF001WKB/,/files/ENCFF001WKC/,/files/ENCFF001DGI/,/files/ENCFF001DGG/,/files/ENCFF796ZGO/,/files/ENCFF352FWQ/,/files/ENCFF254HPZ/,/files/ENCFF270SQU/,/files/ENCFF605IVA/,/files/ENCFF936SLC/,/files/ENCFF717TRO/,/files/ENCFF015OID/,/files/ENCFF876TFL/,/files/ENCFF396RMY/,/files/ENCFF139AMA/,/files/ENCFF124BLK/,/files/ENCFF880WOP/,/files/ENCFF920BLH/,/files/ENCFF869VJY/,/files/ENCFF505WQS/,/files/ENCFF496XNC/,/files/ENCFF421GOI/,/files/ENCFF479HFK/,/files/ENCFF097QRI/,/files/ENCFF668CHZ/,/files/ENCFF403DIO/,/files/ENCFF849TYT/,/files/ENCFF298NBH/,/files/ENCFF698QUW/,/files/ENCFF304DIG/,/files/ENCFF936YDM/,/files/ENCFF799CHD/,/files/ENCFF655PPP/,/files/ENCFF683IBB/,/files/ENCFF731GEK/,/files/ENCFF113SVF/,/files/ENCFF051HXQ/,/files/ENCFF320XKN/,/files/ENCFF508YPY/,/files/ENCFF212JKR/,/files/ENCFF600ILT/,/files/ENCFF092NPZ/,/files/ENCFF721OKV/,/files/ENCFF381IGO/,/files/ENCFF647HCV/,/files/ENCFF599ISA/,/files/ENCFF106NNS/,/files/ENCFF981XLW/,/files/ENCFF732GMC/,/files/ENCFF626KPV/,/files/ENCFF969NNQ/,/files/ENCFF859IBW/,/files/ENCFF776TGZ/,/files/ENCFF231MDW/,/files/ENCFF764VAH/,/files/ENCFF448BFN/,/files/ENCFF664BYI/,/files/ENCFF308IBW/,/files/ENCFF830VXP/,/files/ENCFF503XQI/,/files/ENCFF786STQ/,/files/ENCFF967DZL/,/files/ENCFF416OXE/,/files/ENCFF313HAH/,/files/ENCFF745OVX/,/files/ENCFF888GCD/,/files/ENCFF274CXY/,/files/ENCFF805QPN/,/files/ENCFF632YWG/,/files/ENCFF124OND/,/files/ENCFF459ZCY/,/files/ENCFF223JVN/,/files/ENCFF391UKH/,/files/ENCFF422YXH/,/files/ENCFF773SCO/,/files/ENCFF650DZZ/,/files/ENCFF310PBP/,/files/ENCFF628RUE/,/files/ENCFF609ZYN/,/files/ENCFF179CQQ/,/files/ENCFF291PET/,/files/ENCFF739GYW/,/files/ENCFF816VQV/,/files/ENCFF796OWN/,/files/ENCFF785JXX/,/files/ENCFF453IIQ/,/files/ENCFF781CNF/,/files/ENCFF959SBM/,/files/ENCFF096RNP/,/files/ENCFF728MWG/,/files/ENCFF082DXS/,/files/ENCFF409JXE/,/files/ENCFF807STB/,/files/ENCFF024JAP/,/files/ENCFF468UDS/,/files/ENCFF812UWP/,/files/ENCFF728VWZ/,/files/ENCFF129XDL/,/files/ENCFF680LFB/		ENCBS312AAA,ENCBS835GOB	1,2	1		Homo sapiens	adult													/replicates/244a27a2-c3d9-4d32-a4d8-fd69f97ad8d7/,/replicates/27176593-ce9c-4f9b-828c-fa55aa77a83c/				
/experiments/ENCSR000EIP/	ENCSR000EIP	DNase-seq	DNase-seq	cell line				Homo sapiens Ishikawa treated with 0.02% dimethyl sulfoxide for 1 hour	Ishikawa	GEO:GSM1008597,UCSC-ENCODE-hg19:wgEncodeEH002555	DNase-seq on human ECC-1 treated with dimethyl sulfoxide at 0.02%. Note: This experiment previously referred to its biosample as ECC-1, however it has been found that all currently available ECC-1 are actually Ishikawa cells (http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3432677/).	Gregory Crawford, Duke	ENCODE	released	/files/ENCFF000SGW/,/files/ENCFF000SGS/,/files/ENCFF000SGT/,/files/ENCFF000SGU/,/files/ENCFF000SGV/,/files/ENCFF000SHB/,/files/ENCFF000SHL/,/files/ENCFF001UUN/,/files/ENCFF692MSQ/,/files/ENCFF202HIH/,/files/ENCFF177UIJ/,/files/ENCFF513TAG/,/files/ENCFF855FJP/,/files/ENCFF627AAK/,/files/ENCFF031HLE/,/files/ENCFF021JPL/,/files/ENCFF240ZYT/,/files/ENCFF830PTL/,/files/ENCFF303HMZ/,/files/ENCFF463ZLQ/,/files/ENCFF066BXX/,/files/ENCFF992XUO/,/files/ENCFF120EHC/,/files/ENCFF927DQZ/,/files/ENCFF832KMA/,/files/ENCFF984NEY/,/files/ENCFF936CBL/,/files/ENCFF319YDU/,/files/ENCFF547NJT/,/files/ENCFF683XJW/,/files/ENCFF819QAE/,/files/ENCFF427LGC/,/files/ENCFF919KGY/,/files/ENCFF388KFO/,/files/ENCFF922TAI/,/files/ENCFF926OUY/,/files/ENCFF025PVR/,/files/ENCFF554ARZ/,/files/ENCFF772TBG/,/files/ENCFF250OES/,/files/ENCFF459DQI/,/files/ENCFF159LGL/,/files/ENCFF227PZR/,/files/ENCFF359CUF/,/files/ENCFF832OEQ/,/files/ENCFF707JNK/		ENCBS862NRL	1	1,2		Homo sapiens	adult	39 years	dimethyl sulfoxide	CHEBI:28262	0.02	percent	1	hour						/replicates/2f4912b6-9ce2-46c6-8907-c306d8a331e6/,/replicates/13db9005-3701-4391-a364-10e377475807/				
